meeting_date,t_statement,t_pressconf,score_stmt,score_qa,delta_score,BTCUSDT_1m,BTCUSDT_2m,BTCUSDT_3m,BTCUSDT_4m,BTCUSDT_5m,BTCUSDT_6m,BTCUSDT_7m,BTCUSDT_8m,BTCUSDT_9m,BTCUSDT_10m,BTCUSDT_11m,BTCUSDT_12m,BTCUSDT_13m,BTCUSDT_14m,BTCUSDT_15m,BTCUSDT_16m,BTCUSDT_17m,BTCUSDT_18m,BTCUSDT_19m,BTCUSDT_20m,BTCUSDT_21m,BTCUSDT_22m,BTCUSDT_23m,BTCUSDT_24m,BTCUSDT_25m,BTCUSDT_26m,BTCUSDT_27m,BTCUSDT_28m,BTCUSDT_29m,BTCUSDT_30m,BTCUSDT_31m,BTCUSDT_32m,BTCUSDT_33m,BTCUSDT_34m,BTCUSDT_35m,BTCUSDT_36m,BTCUSDT_37m,BTCUSDT_38m,BTCUSDT_39m,BTCUSDT_40m,BTCUSDT_41m,BTCUSDT_42m,BTCUSDT_43m,BTCUSDT_44m,BTCUSDT_45m,BTCUSDT_46m,BTCUSDT_47m,BTCUSDT_48m,BTCUSDT_49m,BTCUSDT_50m,BTCUSDT_51m,BTCUSDT_52m,BTCUSDT_53m,BTCUSDT_54m,BTCUSDT_55m,BTCUSDT_56m,BTCUSDT_57m,BTCUSDT_58m,BTCUSDT_59m,BTCUSDT_60m
20-03-2013,14:00:00,14:30:00,0.0094797611236572,3.761565198898316,3.7520854377746575,17.99591487713893,21.264422832370734,21.264422832370734,21.264422832370734,21.264422832370734,24.531862822230803,17.99591487713893,24.531862822230803,19.630302394057402,62.03088777000532,134.99432455506957,133.37868516226817,133.37868516226817,133.37868516226817,50.63301956546855,50.63301956546855,63.658094672951705,63.658094672951705,63.658094672951705,63.658094672951705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-2013,14:00:00,14:30:00,0.0087120532989501,3.382618961334229,3.3739069080352784,0.0,-24.586300801133085,-24.586300801133085,-40.69470434116881,-40.69470434116881,4.721212495043452,34.8843044562574,34.8843044562574,34.8843044562574,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,41.470370460893385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-09-2013,14:00:00,14:30:00,2.6976518630981445,1.557742804288864,-1.1399090588092804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-12-2013,14:00:00,14:30:00,0.0198116302490234,3.0764785528182985,3.056666922569275,5.174261859167769,5.174261859167769,27.68806568133019,73.66515816762646,93.82830311626542,148.61295438345536,255.66852755648503,353.9212229337422,487.0213987466979,678.4865581557912,522.1708198211433,569.4274055333016,384.02804464523786,398.60349293208924,164.9899938003507,224.6299751634269,175.71151692008965,75.499852237537,110.11241872741373,110.29523575499604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2014,14:00:00,14:30:00,0.0095513661702473,3.150753248821605,3.141201882651358,0.0,0.0,3.2685079552298366,-14.721520610817443,-14.721520610817443,-14.721520610817443,1.6343875169186015,38.66331072262974,60.13266822025744,23.998640167827848,23.835578522368845,24.487809151349467,24.487809151349467,24.487809151349467,24.487809151349467,24.487809151349467,24.487809151349467,24.487809151349467,24.487809151349467,24.487809151349467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-2014,14:00:00,14:30:00,0.0143467585245768,3.585656881332397,3.571310122807821,-1.6421709536864073,-1.6421709536864073,-13.47376927083998,-1.6421709536864073,-44.268612831547216,-44.268612831547216,-32.07107719912799,-1.6421709536864073,-1.6421709536864073,-1.6421709536864073,-1.6421709536864073,-40.14615941872427,-49.382816405825665,-49.382816405825665,9.355228531346295,-49.05278884849487,-0.9852702111516377,1.4777233236261311,-56.31591231073797,-8.377892710910492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-09-2014,14:00:00,14:30:00,0.0207014083862304,3.438204264640808,3.4175028562545777,-2.1951487301415855,-35.18033531679173,13.379982474502818,6.582556463684922,-27.474054316710458,10.091482329769487,10.091482329769487,8.337173303736696,10.530011502992313,-9.003173677676024,21.925025226681434,17.54386414893374,17.10564245250812,21.925025226681434,0.21948837261303433,0.0,0.21948837261303433,0.21948837261303433,-28.35447163508863,15.352563603297886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-12-2014,14:00:00,14:30:00,4.480272054672241,3.6596934227716353,-0.8205786319006059,-9.066608927978473,-7.815553348201155,-7.815553348201155,-7.502813907041775,53.916886882870806,7.80944983071351,52.673531063916464,38.05250840978956,52.98438451208485,12.180079270918384,29.95508979798371,58.88876480139182,51.74091273729256,51.74091273729256,39.920212695374566,39.29768335847777,56.092387645105944,31.201273362436776,13.11639424796051,61.06318431760786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2015,14:00:00,14:30:00,2.4297144412994385,3.79533060391744,1.3656161626180017,-6.982855536499043,-6.982855536499043,-6.615215235728347,20.552728635329437,11.749588280304474,30.080727010791932,40.33150586923259,30.447007251843697,30.080727010791932,29.714433353125024,27.150002001720356,13.584215030640012,13.217316606426953,13.217316606426953,13.217316606426953,13.217316606426953,28.615471870619245,28.615471870619245,27.882763781192878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-2015,14:00:00,14:30:00,2.7368221282958984,4.126061301482351,1.3892391731864526,-6.368666377740739,-9.156233844968085,-9.952824437654249,-9.952824437654249,-11.147829318679891,-11.54619601527721,-9.55452120935457,-9.55452120935457,-9.55452120935457,-9.55452120935457,19.0816992901807,4.376106528570271,7.955133469128891,23.44946524736775,21.86140743872652,35.35186696991297,60.696407702701904,39.31618813184198,38.91982672946298,38.91982672946298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
