meeting_date,t_statement,t_pressconf,score_stmt,score_qa,delta_score,reactions
16-03-2016,14:00:00,14:30:00,4.690021991729736,4.440565154665992,-0.249456837063744,{}
15-06-2016,14:00:00,14:30:00,4.811091899871826,3.1369524240493774,-1.6741394758224488,{}
21-09-2016,14:00:00,14:30:00,4.9130880037943525,5.281129425222224,0.3680414214278711,{}
14-12-2016,14:00:00,14:30:00,6.209753036499023,4.396551623063929,-1.8132014134350944,{}
15-03-2017,14:00:00,14:30:00,5.406976699829102,4.996431843439738,-0.41054485638936367,{}
14-06-2017,14:00:00,14:30:00,6.961262106895447,4.240469251360212,-2.720792855535235,{}
20-09-2017,14:00:00,14:30:00,5.514693307876587,4.278026392062505,-1.236666915814082,{}
13-12-2017,14:00:00,14:30:00,5.5008145570755005,5.254918644825618,-0.24589591224988272,{}
21-03-2018,14:00:00,14:30:00,5.894882082939148,5.450312815214458,-0.44456926772468996,{}
13-06-2018,14:00:00,14:30:00,5.9123002052307125,5.269247083663941,-0.6430531215667719,{}
26-09-2018,14:00:00,14:30:00,7.468490759531657,5.23101943731308,-2.2374713222185774,{}
19-12-2018,14:00:00,14:30:00,7.413428783416748,5.601951599121094,-1.8114771842956543,{}
30-01-2019,14:00:00,14:30:00,5.4937459627787275,5.145418746130807,-0.3483272166479203,{}
20-03-2019,14:00:00,14:30:00,4.926468849182129,4.4187912225723265,-0.5076776266098024,{}
01-05-2019,14:00:00,14:30:00,5.03347651163737,4.633871701028612,-0.39960481060875797,{}
19-06-2019,14:00:00,14:30:00,4.943445523579915,3.069960868358612,-1.873484655221303,{}
31-07-2019,14:00:00,14:30:00,3.745455265045166,2.6817007859547934,-1.0637544790903726,{}
18-09-2019,14:00:00,14:30:00,3.691276788711548,4.028925584710163,0.3376487959986152,{}
30-10-2019,14:00:00,14:30:00,3.410365422566732,2.9183886766433718,-0.49197674592336016,{}
11-12-2019,14:00:00,14:30:00,5.398622830708821,2.810514835210947,-2.5881079954978743,{}
29-01-2020,14:00:00,14:30:00,5.686426162719727,4.1468863395544195,-1.539539823165307,{}
03-03-2020,14:00:00,14:30:00,3.2363085746765137,2.620659271876017,-0.6156493028004966,{}
15-03-2020,14:00:00,14:30:00,3.4994680285453796,2.4823172807693483,-1.0171507477760313,{}
29-04-2020,14:00:00,14:30:00,3.358713150024414,2.343212058146795,-1.0155010918776193,{}
10-06-2020,14:00:00,14:30:00,3.322478453318278,2.3827061883864866,-0.9397722649317912,{}
29-07-2020,14:00:00,14:30:00,3.3178885777791343,2.587054721514384,-0.7308338562647503,{}
16-09-2020,14:00:00,14:30:00,3.75699245929718,2.132558688521385,-1.624433770775795,{}
05-11-2020,14:00:00,14:30:00,3.290532906850179,2.5693093736966452,-0.7212235331535339,{}
16-12-2020,14:00:00,14:30:00,1.4163916110992432,2.465373730659485,1.0489821195602418,{}
27-01-2021,14:00:00,14:30:00,2.53076434135437,2.8721336722373962,0.3413693308830261,{}
17-03-2021,14:00:00,14:30:00,1.4417195320129395,3.4383215739809234,1.996602041967984,{}
28-04-2021,14:00:00,14:30:00,1.5530254046122234,3.5558445879391263,2.0028191833269027,{}
16-06-2021,14:00:00,14:30:00,2.3087701201438904,5.183878091073805,2.875107970929915,{}
28-07-2021,14:00:00,14:30:00,3.263080358505249,4.6607067329542975,1.3976263744490485,{}
22-09-2021,14:00:00,14:30:00,2.260616898536682,4.712172298431397,2.4515553998947146,{}
03-11-2021,14:00:00,14:30:00,2.484709620475769,4.06611743927002,1.5814078187942506,{}
15-12-2021,14:00:00,14:30:00,3.05239474773407,5.510799423340829,2.458404675606759,{}
26-01-2022,14:00:00,14:30:00,4.3028331597646075,6.459191216362847,2.15635805659824,{}
16-03-2022,14:00:00,14:30:00,7.799102306365967,8.65067714691162,0.8515748405456538,{}
04-05-2022,14:00:00,14:30:00,6.677141984303792,7.397139744325117,0.7199977600213252,{}
15-06-2022,14:00:00,14:30:00,7.59331750869751,7.333472354071481,-0.25984515462602875,{}
27-07-2022,14:00:00,14:30:00,7.538282553354899,6.255952026162829,-1.2823305271920704,{}
21-09-2022,14:00:00,14:30:00,7.797873338063558,8.272189331054687,0.47431599299112914,{}
02-11-2022,14:00:00,14:30:00,6.721266110738118,7.26341726468957,0.5421511539514521,{}
14-12-2022,14:00:00,14:30:00,6.689743359883626,5.669516511585401,-1.0202268482982246,{}
01-02-2023,14:00:00,14:30:00,8.11336898803711,6.247000477530739,-1.86636851050637,{}
22-03-2023,14:00:00,14:30:00,7.185268561045329,6.210866606235504,-0.9744019548098253,{}
03-05-2023,14:00:00,14:30:00,7.5354110399882,5.8846254990651055,-1.6507855409230947,{}
14-06-2023,14:00:00,14:30:00,6.664638201395671,6.833640016042269,0.16900181464659791,{}
26-07-2023,14:00:00,14:30:00,7.42101510365804,6.469188404083252,-0.9518266995747879,{}
20-09-2023,14:00:00,14:30:00,6.666395664215088,6.81173312664032,0.14533746242523193,{}
01-11-2023,14:00:00,14:30:00,6.667078495025635,7.304732304352981,0.6376538093273458,{}
13-12-2023,14:00:00,14:30:00,6.619953950246175,5.81897403977134,-0.800979910474835,{}
31-01-2024,14:00:00,14:30:00,5.1191385587056475,5.206569726650532,0.08743116794488426,{}
20-03-2024,14:00:00,14:30:00,5.1119968096415205,5.786344203081998,0.6743473934404776,{}
01-05-2024,14:00:00,14:30:00,4.906455198923747,4.76671901345253,-0.13973618547121713,{}
12-06-2024,14:00:00,14:30:00,5.210251808166504,5.878900911126818,0.6686491029603143,{}
